Player,Pos,Salary,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER
Avery Bradley,SG,2641691.00 ,30.00 ,HOU,17.00 ,5.00 ,23.00 ,1.90 ,6.20 ,0.31 ,1.00 ,3.70 ,0.27 ,0.90 ,2.50 ,0.38 ,0.40 ,0.30 ,0.40 ,0.83 ,0.40 ,1.90 ,2.30 ,1.90 ,0.80 ,0.10 ,1.10 ,1.70 ,5.20 ,4.20 
Tony Bradley,C,1789256.00 ,23.00 ,TOT,42.00 ,8.00 ,16.30 ,3.10 ,4.70 ,0.67 ,0.00 ,0.10 ,0.00 ,3.10 ,4.60 ,0.68 ,0.67 ,0.90 ,1.30 ,0.69 ,2.00 ,3.70 ,5.70 ,0.90 ,0.40 ,0.70 ,0.80 ,1.50 ,7.10 ,11.30 
Tony Bradley,C,1789256.00 ,23.00 ,PHI,20.00 ,8.00 ,14.40 ,2.60 ,3.80 ,0.68 ,0.00 ,0.10 ,0.00 ,2.60 ,3.70 ,0.69 ,0.68 ,0.40 ,0.60 ,0.64 ,2.00 ,3.30 ,5.20 ,0.90 ,0.30 ,0.70 ,0.30 ,1.40 ,5.50 ,9.80 
Tony Bradley,C,1789256.00 ,23.00 ,OKC,22.00 ,0.00 ,18.00 ,3.60 ,5.50 ,0.66 ,0.00 ,0.10 ,0.00 ,3.60 ,5.50 ,0.67 ,0.66 ,1.40 ,2.00 ,0.71 ,2.10 ,4.00 ,6.10 ,0.90 ,0.40 ,0.80 ,1.20 ,1.50 ,8.70 ,12.90 
Jarrell Brantley,PF,#N/A,24.00 ,UTA,28.00 ,0.00 ,4.90 ,0.90 ,1.90 ,0.48 ,0.40 ,1.00 ,0.43 ,0.50 ,0.90 ,0.54 ,0.60 ,0.10 ,0.10 ,1.00 ,0.30 ,0.60 ,1.00 ,0.50 ,0.30 ,0.10 ,0.30 ,0.60 ,2.30 ,2.60 
Ignas Brazdeikis,SF,#N/A,22.00 ,TOT,13.00 ,0.00 ,19.20 ,2.70 ,6.40 ,0.42 ,0.80 ,2.20 ,0.39 ,1.80 ,4.20 ,0.44 ,0.49 ,0.80 ,1.10 ,0.71 ,0.80 ,2.60 ,3.50 ,1.30 ,0.30 ,0.20 ,0.90 ,1.70 ,7.00 ,6.60 
Ignas Brazdeikis,SF,#N/A,22.00 ,NYK,4.00 ,0.00 ,1.80 ,0.00 ,0.30 ,0.00 ,0.00 ,0.00 ,,0.00 ,0.30 ,0.00 ,0.00 ,0.50 ,0.50 ,1.00 ,0.30 ,0.30 ,0.50 ,0.30 ,0.00 ,0.00 ,0.30 ,0.00 ,0.50 ,1.00 
Ignas Brazdeikis,SF,#N/A,22.00 ,PHI,1.00 ,0.00 ,8.00 ,0.00 ,3.00 ,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,2.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,0.00 ,2.00 ,2.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,-1.00 
Ignas Brazdeikis,SF,#N/A,22.00 ,ORL,8.00 ,0.00 ,29.30 ,4.40 ,9.90 ,0.44 ,1.40 ,3.40 ,0.41 ,3.00 ,6.50 ,0.46 ,0.51 ,1.00 ,1.50 ,0.67 ,1.30 ,3.90 ,5.10 ,2.00 ,0.50 ,0.40 ,1.40 ,2.80 ,11.10 ,10.30 
Mikal Bridges,SF,5557725.00 ,24.00 ,PHO,72.00 ,72.00 ,32.60 ,5.00 ,9.30 ,0.54 ,1.90 ,4.40 ,0.43 ,3.20 ,4.90 ,0.65 ,0.64 ,1.50 ,1.80 ,0.84 ,1.10 ,3.20 ,4.30 ,2.10 ,1.10 ,0.90 ,0.80 ,1.60 ,13.50 ,15.70 
Miles Bridges,PF,5421493.00 ,22.00 ,CHO,66.00 ,19.00 ,29.30 ,4.70 ,9.40 ,0.50 ,1.80 ,4.40 ,0.40 ,3.00 ,5.00 ,0.59 ,0.60 ,1.50 ,1.70 ,0.87 ,1.20 ,4.80 ,6.00 ,2.20 ,0.70 ,0.80 ,1.60 ,2.20 ,12.70 ,15.30 
Amida Brimah,C,#N/A,26.00 ,IND,5.00 ,0.00 ,5.80 ,1.00 ,1.60 ,0.63 ,0.00 ,0.00 ,,1.00 ,1.60 ,0.63 ,0.63 ,0.60 ,0.60 ,1.00 ,0.40 ,1.20 ,1.60 ,0.20 ,0.00 ,1.00 ,0.80 ,0.80 ,2.60 ,4.00 
Oshae Brissett,SF,1701593.00 ,22.00 ,IND,21.00 ,16.00 ,24.70 ,3.50 ,7.20 ,0.48 ,1.60 ,3.70 ,0.42 ,1.90 ,3.50 ,0.55 ,0.59 ,2.40 ,3.10 ,0.77 ,1.40 ,4.10 ,5.50 ,0.90 ,0.90 ,1.00 ,0.50 ,1.50 ,10.90 ,13.30 
Malcolm Brogdon,PG,21700000.00 ,28.00 ,IND,56.00 ,56.00 ,34.50 ,7.90 ,17.50 ,0.45 ,2.60 ,6.70 ,0.39 ,5.30 ,10.80 ,0.49 ,0.53 ,2.70 ,3.20 ,0.86 ,1.00 ,4.20 ,5.30 ,5.90 ,0.90 ,0.30 ,2.10 ,2.00 ,21.20 ,21.50 
